i,dim_reduction,model_type,best_score,best_params
2,umap,lightgbm,0.7540447387501167,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 1, ""model_type__reg_alpha"": 0.01, ""model_type__num_leaves"": 127, ""model_type__n_estimators"": 100, ""model_type__min_data_in_leaf"": 50, ""model_type__max_depth"": null, ""model_type__learning_rate"": 0.05, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__spread"": 1.5, ""dim_reduction__n_neighbors"": 5, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""manhattan""}"
2,umap,mlpclassifier,0.7712776514260394,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 200, ""model_type__learning_rate"": ""constant"", ""model_type__hidden_layer_sizes"": [200, 100], ""model_type__alpha"": 0.01, ""model_type__activation"": ""logistic"", ""dim_reduction__spread"": 2.0, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""euclidean""}"
2,umap,assembled,0.9680710797386348,{}
2,umap_supervised,balanced_random_forest,0.7757990249416828,"{""model_type__sampling_strategy"": ""all"", ""model_type__replacement"": false, ""model_type__n_estimators"": 500, ""model_type__min_samples_split"": 10, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": 30, ""model_type__bootstrap"": true, ""dim_reduction__spread"": 1.1, ""dim_reduction__n_neighbors"": 50, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""euclidean""}"
2,umap_supervised,support_vector_machine,0.7779137288605175,"{""model_type__kernel"": ""rbf"", ""model_type__gamma"": ""scale"", ""model_type__C"": 0.1, ""dim_reduction__spread"": 1.7, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.1, ""dim_reduction__metric"": ""euclidean""}"
2,umap_supervised,xgboost,0.7519610336916949,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 1, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.2, ""model_type__colsample_bytree"": 0.8, ""dim_reduction__spread"": 1.1, ""dim_reduction__n_neighbors"": 30, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""cosine""}"
2,umap_supervised,lightgbm,0.7540447387501167,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 1, ""model_type__reg_alpha"": 0.01, ""model_type__num_leaves"": 127, ""model_type__n_estimators"": 100, ""model_type__min_data_in_leaf"": 50, ""model_type__max_depth"": null, ""model_type__learning_rate"": 0.05, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__spread"": 1.5, ""dim_reduction__n_neighbors"": 5, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""manhattan""}"
2,umap_supervised,mlpclassifier,0.7712776514260394,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 200, ""model_type__learning_rate"": ""constant"", ""model_type__hidden_layer_sizes"": [200, 100], ""model_type__alpha"": 0.01, ""model_type__activation"": ""logistic"", ""dim_reduction__spread"": 2.0, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""euclidean""}"
2,umap_supervised,assembled,0.9680710797386348,{}
3,,balanced_random_forest,0.6094160646714826,"{""model_type__sampling_strategy"": ""not majority"", ""model_type__replacement"": false, ""model_type__n_estimators"": 100, ""model_type__min_samples_split"": 10, ""model_type__min_samples_leaf"": 1, ""model_type__max_depth"": 30, ""model_type__bootstrap"": true}"
3,,support_vector_machine,0.5995129572296756,"{""model_type__kernel"": ""linear"", ""model_type__gamma"": 0.3, ""model_type__C"": 5}"
3,,xgboost,0.6065190345143906,"{""model_type__subsample"": 0.5, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 6, ""model_type__learning_rate"": 0.3, ""model_type__colsample_bytree"": 0.5}"
3,,lightgbm,0.5947990482742804,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 0.1, ""model_type__reg_alpha"": 1, ""model_type__num_leaves"": 63, ""model_type__n_estimators"": 200, ""model_type__min_data_in_leaf"": 5, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.005, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.6}"
3,,mlpclassifier,0.6079211099644537,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 200, ""model_type__learning_rate"": ""invscaling"", ""model_type__hidden_layer_sizes"": [100, 50], ""model_type__alpha"": 0.005, ""model_type__activation"": ""relu""}"
3,,assembled,0.927508045144352,{}
3,pca,balanced_random_forest,0.6569103313840156,"{""model_type__sampling_strategy"": ""all"", ""model_type__replacement"": false, ""model_type__n_estimators"": 200, ""model_type__min_samples_split"": 2, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": null, ""model_type__bootstrap"": true, ""dim_reduction__n_components"": 26}"
3,pca,support_vector_machine,0.5995129572296756,"{""model_type__kernel"": ""linear"", ""model_type__gamma"": 0.3, ""model_type__C"": 5, ""dim_reduction__n_components"": 26}"
3,pca,xgboost,0.6490204678362573,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.01, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__n_components"": 26}"
3,pca,lightgbm,0.6392583992661391,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 0.1, ""model_type__reg_alpha"": 1, ""model_type__num_leaves"": 63, ""model_type__n_estimators"": 200, ""model_type__min_data_in_leaf"": 5, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.005, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__n_components"": 26}"
3,pca,mlpclassifier,0.6029778695103772,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 1000, ""model_type__learning_rate"": ""adaptive"", ""model_type__hidden_layer_sizes"": [100], ""model_type__alpha"": 0.005, ""model_type__activation"": ""logistic"", ""dim_reduction__n_components"": 26}"
3,pca,assembled,0.9334722829054226,{}
3,umap,balanced_random_forest,0.6021777892443526,"{""model_type__sampling_strategy"": ""not majority"", ""model_type__replacement"": false, ""model_type__n_estimators"": 500, ""model_type__min_samples_split"": 2, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": 30, ""model_type__bootstrap"": false, ""dim_reduction__spread"": 2.0, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""manhattan""}"
3,umap,support_vector_machine,0.600639834881321,"{""model_type__kernel"": ""rbf"", ""model_type__gamma"": ""scale"", ""model_type__C"": 0.1, ""dim_reduction__spread"": 1.7, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.1, ""dim_reduction__metric"": ""euclidean""}"
3,umap,xgboost,0.5999716202270382,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 50, ""model_type__max_depth"": 3, ""model_type__learning_rate"": 0.1, ""model_type__colsample_bytree"": 1.0, ""dim_reduction__spread"": 0.9, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.5, ""dim_reduction__metric"": ""manhattan""}"
3,umap,lightgbm,0.6093346519894507,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 0.1, ""model_type__reg_alpha"": 0, ""model_type__num_leaves"": 63, ""model_type__n_estimators"": 1000, ""model_type__min_data_in_leaf"": 50, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.005, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__spread"": 0.9, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.7, ""dim_reduction__metric"": ""manhattan""}"
3,umap,mlpclassifier,0.5995023506478614,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 200, ""model_type__learning_rate"": ""constant"", ""model_type__hidden_layer_sizes"": [200, 100], ""model_type__alpha"": 0.01, ""model_type__activation"": ""logistic"", ""dim_reduction__spread"": 2.0, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""euclidean""}"
3,umap,assembled,0.889733313400148,{}
3,umap_supervised,balanced_random_forest,0.6021777892443526,"{""model_type__sampling_strategy"": ""not majority"", ""model_type__replacement"": false, ""model_type__n_estimators"": 500, ""model_type__min_samples_split"": 2, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": 30, ""model_type__bootstrap"": false, ""dim_reduction__spread"": 2.0, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""manhattan""}"
3,umap_supervised,support_vector_machine,0.600639834881321,"{""model_type__kernel"": ""rbf"", ""model_type__gamma"": ""scale"", ""model_type__C"": 0.1, ""dim_reduction__spread"": 1.7, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.1, ""dim_reduction__metric"": ""euclidean""}"
3,umap_supervised,xgboost,0.5999716202270382,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 50, ""model_type__max_depth"": 3, ""model_type__learning_rate"": 0.1, ""model_type__colsample_bytree"": 1.0, ""dim_reduction__spread"": 0.9, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.5, ""dim_reduction__metric"": ""manhattan""}"
3,umap_supervised,lightgbm,0.6093346519894507,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 0.1, ""model_type__reg_alpha"": 0, ""model_type__num_leaves"": 63, ""model_type__n_estimators"": 1000, ""model_type__min_data_in_leaf"": 50, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.005, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__spread"": 0.9, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.7, ""dim_reduction__metric"": ""manhattan""}"
3,umap_supervised,mlpclassifier,0.5995023506478614,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 200, ""model_type__learning_rate"": ""constant"", ""model_type__hidden_layer_sizes"": [200, 100], ""model_type__alpha"": 0.01, ""model_type__activation"": ""logistic"", ""dim_reduction__spread"": 2.0, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 26, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""euclidean""}"
3,umap_supervised,assembled,0.889733313400148,{}
4,,balanced_random_forest,0.7857011810572182,"{""model_type__sampling_strategy"": ""all"", ""model_type__replacement"": false, ""model_type__n_estimators"": 100, ""model_type__min_samples_split"": 2, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": null, ""model_type__bootstrap"": true}"
4,,support_vector_machine,0.7725189198486412,"{""model_type__kernel"": ""linear"", ""model_type__gamma"": 0.3, ""model_type__C"": 5}"
4,,xgboost,0.796230936819172,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.01, ""model_type__colsample_bytree"": 0.6}"
4,,lightgbm,0.782041050338264,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 0.1, ""model_type__reg_alpha"": 1, ""model_type__num_leaves"": 63, ""model_type__n_estimators"": 200, ""model_type__min_data_in_leaf"": 5, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.005, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.6}"
4,,mlpclassifier,0.7738911822038758,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 1000, ""model_type__learning_rate"": ""invscaling"", ""model_type__hidden_layer_sizes"": [100, 50], ""model_type__alpha"": 0.005, ""model_type__activation"": ""logistic""}"
4,,assembled,0.9764137945883972,{}
4,pca,balanced_random_forest,0.7631427015250545,"{""model_type__sampling_strategy"": ""all"", ""model_type__replacement"": false, ""model_type__n_estimators"": 100, ""model_type__min_samples_split"": 2, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": null, ""model_type__bootstrap"": true, ""dim_reduction__n_components"": 22}"
4,pca,support_vector_machine,0.7725189198486412,"{""model_type__kernel"": ""linear"", ""model_type__gamma"": 0.3, ""model_type__C"": 5, ""dim_reduction__n_components"": 22}"
4,pca,xgboost,0.7715356610480449,"{""model_type__subsample"": 0.5, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 6, ""model_type__learning_rate"": 0.3, ""model_type__colsample_bytree"": 0.5, ""dim_reduction__n_components"": 22}"
4,pca,lightgbm,0.7596167297328288,"{""model_type__subsample"": 0.5, ""model_type__reg_lambda"": 0.01, ""model_type__reg_alpha"": 0.1, ""model_type__num_leaves"": 15, ""model_type__n_estimators"": 500, ""model_type__min_data_in_leaf"": 50, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.1, ""model_type__is_unbalance"": false, ""model_type__colsample_bytree"": 0.8, ""dim_reduction__n_components"": 22}"
4,pca,mlpclassifier,0.7705515422543285,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 500, ""model_type__learning_rate"": ""adaptive"", ""model_type__hidden_layer_sizes"": [100, 50], ""model_type__alpha"": 0.0001, ""model_type__activation"": ""logistic"", ""dim_reduction__n_components"": 22}"
4,pca,assembled,0.978437376898768,{}
4,umap,balanced_random_forest,0.7486658640064212,"{""model_type__sampling_strategy"": ""not majority"", ""model_type__replacement"": false, ""model_type__n_estimators"": 500, ""model_type__min_samples_split"": 5, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": null, ""model_type__bootstrap"": true, ""dim_reduction__spread"": 1.7, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 22, ""dim_reduction__min_dist"": 0.7, ""dim_reduction__metric"": ""cosine""}"
4,umap,support_vector_machine,0.7308912395367504,"{""model_type__kernel"": ""linear"", ""model_type__gamma"": 0.3, ""model_type__C"": 1, ""dim_reduction__spread"": 1.1, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 22, ""dim_reduction__min_dist"": 0.7, ""dim_reduction__metric"": ""euclidean""}"
4,umap,xgboost,0.7318117188395826,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 50, ""model_type__max_depth"": 3, ""model_type__learning_rate"": 0.1, ""model_type__colsample_bytree"": 1.0, ""dim_reduction__spread"": 0.9, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 22, ""dim_reduction__min_dist"": 0.5, ""dim_reduction__metric"": ""manhattan""}"
4,umap,lightgbm,0.7371038298360281,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 0.1, ""model_type__reg_alpha"": 0, ""model_type__num_leaves"": 63, ""model_type__n_estimators"": 1000, ""model_type__min_data_in_leaf"": 50, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.005, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__spread"": 0.9, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 22, ""dim_reduction__min_dist"": 0.7, ""dim_reduction__metric"": ""manhattan""}"
